år,Fastighetsprisindex_för_lantbruk_1992=100
1988,62
1989,73
1990,76
1991,88
1992,100
1993,89
1994,99
1995,107
1996,108
1997,122
1998,132
1999,140
2000,154
2001,165
2002,168
2003,172
2004,190
2005,207
2006,235
2007,264
2008,296
2009,298
2010,316
2011,325
2012,331
2013,325
2014,323
2015,347
2016,369
2017,380
2018,398
2019,398
2020,415
2021,469
comments,[]
infofile,BO0501
updated,2022-05-25T13:30:00Z
label,Fastighetsprisindex för lantbruk, 1992=100 efter år och tabellinnehåll
source,SCB
url,http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BO__BO0501__BO0501A/FastpiLantbrukRegAr
