år,Fastighetsprisindex_för_permanenta_småhus_(1981=100)
1975,59
1976,68
1977,79
1978,89
1979,98
1980,101
1981,100
1982,101
1983,101
1984,105
1985,109
1986,115
1987,130
1988,154
1989,181
1990,203
1991,217
1992,197
1993,175
1994,183
1995,184
1996,185
1997,198
1998,217
1999,237
2000,263
2001,284
2002,302
2003,322
2004,353
2005,387
2006,431
2007,477
2008,491
2009,501
2010,538
2011,542
2012,535
2013,554
2014,592
2015,656
2016,711
2017,770
2018,770
2019,791
2020,843
2021,985
2022,1031
comments,[]
infofile,BO0501
updated,2023-01-25T13:44:00Z
label,Fastighetsprisindex för permanenta småhus (1981=100) efter år och tabellinnehåll
source,SCB
url,http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BO__BO0501__BO0501A/FastpiPSRegAr
