år,Brutto,Netto,Egenanvändning
1986,140486,135520,4966
1987,148745,143695,5050
1988,151294,146174,5120
1989,155144,150902,4242
1990,159417,154622,4795
1991,153609,148656,4953
1992,155292,150626,4666
1993,153791,149191,4600
1994,149718,145069,4649
1995,156070,151847,4223
1996,156518,152391,4127
1997,159659,155492,4167
1998,165105,160654,4451
1999,163615,159226,4389
2000,163893,160181,3712
2001,172779,168799,3980
2002,166842,163344,3498
2003,159721,156821,2900
2004,168100,164470,3630
2005,173634,169558,4076
2006,160847,157786,3061
2007,164793,160937,3856
2008,162404,158715,3689
2009,150452,146971,3482
2010,163187,159844,3343
2011,163644,160009,3635
2012,177982,174124,3858
2013,165829,161872,3957
2014,167514,163808,3706
2015,171352,168230,3122
2016,170418,166786,3632
2017,176146,172377,3768
2018,175586,171862,3724
2019,177493,174700,2793
2020,175644,172725,2919
2021,180120,176946,3175
comments,[]
infofile,EN0105
updated,2022-09-19T11:40:00Z
label,Tillförsel av el-energi, GWh efter år och tabellinnehåll
source,Statens energimyndighet
url,http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__EN__EN0105__EN0105A/ElProdAr
