"Totala utsläpp av luftföroreningar  efter luftförorening, sektor och år"

"luftförorening","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Kväveoxider (NOx) (t)","NATIONELL TOTAL (exklusive internationella transporter)",289243.8,293465.8,279348.9,266234.6,269163.5,257900.3,252857.6,241485.8,231759.0,225091.7,222230.4,212191.5,204501.8,200384.4,196683.7,193303.1,191509.7,186318.7,178377.5,164946.4,169518.1,163472.4,156098.4,152731.8,150787.6,146878.6,144012.8,138583.7,134394.2,125419.3,116694.9,115157.3
"Kväveoxider (NOx) (t)","NATIONELL TOTAL (inklusive internationella transporter)",343951.0,354561.2,346666.2,333212.6,347790.1,336878.1,335158.8,339468.9,345310.8,339505.3,332890.7,320063.0,297750.8,324929.3,344085.7,338228.8,344008.7,336928.8,324663.1,317937.1,310701.4,285027.0,266856.9,255485.6,258146.7,241556.7,250887.5,261781.1,233898.3,242082.9,243708.4,232337.7
"Flyktiga organiska ämnen, exkl. metan (NMVOC) (t)","NATIONELL TOTAL (exklusive internationella transporter)",366673.2,350797.9,330967.6,298970.4,292766.6,277462.6,271834.1,252428.4,241091.7,232472.8,222151.8,212390.4,207793.4,207956.2,205281.1,203793.8,198920.3,204148.8,195344.2,180142.3,176729.9,174636.8,166936.2,159628.0,155814.5,157173.5,150306.6,142890.8,138569.0,139127.0,137893.7,138454.7
"Flyktiga organiska ämnen, exkl. metan (NMVOC) (t)","NATIONELL TOTAL (inklusive internationella transporter)",368799.8,352782.1,332905.6,301029.4,295048.8,279664.9,273987.1,254848.6,243857.4,235327.4,224695.6,214721.2,209797.5,210431.0,208175.2,206745.8,202050.5,207304.4,198458.2,183278.2,179648.1,177202.0,169354.3,161913.2,158193.0,159381.5,152824.8,145762.3,140968.0,141883.3,140718.8,141194.1
"Svaveldioxid (SO2) (t)","NATIONELL TOTAL (exklusive internationella transporter)",102398.5,100062.8,93314.7,82293.0,80857.7,70518.4,68663.7,59821.5,56455.6,46684.1,44052.9,41268.7,41331.8,41064.9,36301.6,34328.3,34429.8,30941.8,28657.4,26229.1,27954.9,25236.7,24572.5,22460.6,19701.6,16720.3,17488.0,16982.4,16654.2,15710.9,14575.1,15482.9
"Svaveldioxid (SO2) (t)","NATIONELL TOTAL (inklusive internationella transporter)",136256.4,139584.7,137583.3,125749.6,131938.1,121284.0,117881.2,118466.5,121798.8,112540.8,106025.7,102413.8,94481.2,114541.0,124896.4,122821.1,110780.5,85084.3,79068.8,80152.1,67098.3,52727.7,51144.0,61253.8,60031.2,48385.8,66044.9,76953.5,49403.3,56337.4,32044.8,31899.1
"Ammoniak (NH3) (t)","NATIONELL TOTAL (exklusive internationella transporter)",60349.1,58350.2,59414.7,60654.0,61699.5,61135.0,61222.9,62488.0,61876.5,60365.8,59661.3,59109.0,58603.7,58611.8,58870.9,57405.0,56470.8,56131.9,56596.2,53784.4,54326.2,53972.6,52836.4,53767.2,53684.0,53751.2,52484.4,52696.9,52524.0,51832.4,51978.5,50997.5
"Ammoniak (NH3) (t)","NATIONELL TOTAL (inklusive internationella transporter)",60365.0,58368.9,59435.7,60674.6,61723.9,61159.2,61248.1,62518.3,61912.0,60401.8,59696.7,59144.1,58634.3,58654.1,58921.4,57456.7,56542.3,56209.0,56672.3,53864.3,54402.3,54036.4,52895.6,53820.2,53739.6,53794.9,52532.5,52749.8,52557.7,51887.4,52037.9,51054.1
"PM2.5 (t)","NATIONELL TOTAL (exklusive internationella transporter)",45509.1,45569.3,44124.1,44463.3,43426.9,42248.0,41910.6,38640.2,36334.6,34112.8,33610.3,32505.9,31702.0,32180.1,30904.7,31323.3,29427.3,29017.4,27591.1,25963.1,26111.2,25574.8,23959.4,23366.5,20200.6,18872.7,19017.6,19340.3,18305.5,17530.8,16847.1,15906.7
"PM2.5 (t)","NATIONELL TOTAL (inklusive internationella transporter)",49935.9,50828.7,49996.0,50253.0,50296.9,49069.1,48676.7,46774.5,45612.0,43595.4,42782.7,41626.8,39630.0,43129.0,44108.1,44780.3,42257.8,40207.0,38336.3,37444.8,35867.6,33223.5,31269.4,31316.0,28532.2,25578.3,27855.1,30006.2,26812.7,26483.1,24702.6,23401.3
"PM10 (t)","NATIONELL TOTAL (exklusive internationella transporter)",66616.0,66379.7,64839.3,64845.3,63963.0,62498.7,61846.9,58081.4,55850.7,53247.3,52611.8,51477.9,50530.2,51269.8,50183.3,50577.0,48807.1,48667.7,46495.4,43929.3,44208.9,45195.7,41514.9,42856.4,38447.4,37325.8,38019.9,38716.2,37803.9,36754.6,35266.7,34620.2
"PM10 (t)","NATIONELL TOTAL (inklusive internationella transporter)",71378.7,72047.6,71168.3,71085.4,71369.4,69851.2,69160.7,66875.6,65897.0,63520.7,62569.9,61383.9,59138.6,63168.3,64542.6,65212.0,62735.2,60783.6,58161.4,56400.1,54776.5,53504.7,49385.5,51444.4,47441.7,44546.3,47505.1,50237.5,47020.9,46390.4,43731.9,42689.4
"TSP (t)","NATIONELL TOTAL (exklusive internationella transporter)",86458.7,85521.8,84209.9,83151.2,83053.9,81685.4,79716.8,75904.4,73505.7,71122.5,70637.9,69453.6,68074.5,68969.7,67954.5,68974.6,67645.9,67974.2,65192.9,61281.1,61824.6,65365.9,59039.4,62871.5,56964.4,56338.3,58025.9,59363.1,58565.3,57166.7,54842.6,54733.4
"TSP (t)","NATIONELL TOTAL (inklusive internationella transporter)",91221.4,91189.8,90538.8,89391.3,90460.3,89037.9,87030.5,84698.6,83552.0,81395.9,80596.0,79359.6,76682.9,80868.2,82313.8,83609.5,81574.0,80090.1,76858.9,73751.9,72392.2,73674.9,66910.1,71459.5,65958.7,63558.8,67511.2,70884.5,67782.4,66802.5,63307.8,62802.7
"Sot (BC) (t)","NATIONELL TOTAL (exklusive internationella transporter)",..,..,..,..,..,..,..,..,..,..,5482.6,5275.3,5092.0,4907.1,4904.9,4773.9,4771.6,4490.8,4235.7,3986.1,3966.2,3732.8,3394.4,3190.0,2928.9,2712.6,2613.2,2476.1,2238.0,2124.0,1968.1,1876.5
"Sot (BC) (t)","NATIONELL TOTAL (inklusive internationella transporter)",..,..,..,..,..,..,..,..,..,..,5914.5,5700.8,5463.7,5395.1,5483.7,5366.6,5402.3,5123.7,4867.0,4643.4,4576.8,4254.3,3890.5,3661.4,3424.1,3143.9,3117.0,3065.0,2728.4,2703.1,2468.2,2359.0
"Kolmonoxid (CO) (t)","NATIONELL TOTAL (exklusive internationella transporter)",1093623.9,1139335.4,1076131.0,975810.8,994218.1,936014.6,908938.8,825607.8,776258.3,712871.8,642828.8,601548.8,566006.9,544577.3,502804.5,492846.1,459533.1,450902.7,432364.2,416405.9,406355.7,387850.7,362059.5,355728.0,345478.9,332895.2,335584.2,328272.9,307926.0,300667.1,284155.7,276826.6
"Kolmonoxid (CO) (t)","NATIONELL TOTAL (inklusive internationella transporter)",1104730.9,1149454.4,1085862.7,986734.6,1006381.9,945863.5,918512.2,836222.0,787800.7,724890.9,653697.9,611522.1,574823.8,554877.0,514460.4,505143.8,472488.3,464225.3,447503.3,431238.1,421049.7,402395.7,376393.9,370295.7,360098.3,347091.9,351340.8,345607.9,323066.6,315928.0,295508.1,287940.9
"Bly (Pb) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",369272.6,325038.8,306567.1,143658.0,47914.0,29519.9,24759.4,25093.9,24197.4,21818.4,18922.2,17205.2,14361.1,14216.3,13191.8,11597.9,11185.3,11955.5,10386.7,9602.5,10420.0,9254.4,9224.6,8725.2,8974.5,8322.0,9202.6,9247.6,8144.3,8415.9,7865.7,6846.6
"Bly (Pb) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",372281.2,327950.5,309043.3,146333.4,50989.6,32804.6,27920.1,28091.7,26986.9,24799.8,22037.0,20077.5,16976.1,16567.2,15509.9,13846.5,13310.3,13927.3,12233.2,11520.7,12252.4,11070.3,10701.9,10267.2,10244.9,9461.8,10286.4,10352.7,9029.2,9206.1,8731.2,7646.5
"Kadmium (Cd) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",2265.3,1717.3,1356.5,1076.5,766.7,749.4,718.3,709.9,637.7,552.9,536.2,616.4,541.0,536.7,548.4,552.1,577.8,581.2,525.2,543.3,550.3,533.6,534.9,508.0,517.6,476.7,482.3,523.4,487.3,496.2,495.3,476.4
"Kadmium (Cd) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",2278.0,1732.3,1373.3,1093.0,786.3,768.9,736.5,731.8,661.9,577.5,559.1,639.0,560.8,561.9,576.2,577.9,602.9,605.8,549.2,568.5,573.2,552.3,552.4,524.1,534.5,491.4,499.1,543.2,503.1,515.6,517.9,498.1
"Kvicksilver (Hg) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",1572.8,1252.7,1181.4,1044.3,1062.4,992.5,1049.4,863.0,868.5,872.3,753.6,593.1,629.5,710.9,727.0,675.4,526.5,571.6,516.0,552.6,536.7,523.7,489.7,515.2,449.8,421.5,452.3,435.7,422.7,417.9,395.5,412.0
"Kvicksilver (Hg) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",1574.4,1254.7,1183.6,1046.6,1065.0,995.1,1052.1,866.2,872.3,876.2,757.5,597.0,632.9,715.6,732.7,681.2,532.7,577.8,522.2,559.2,542.7,528.6,494.3,519.4,454.3,424.7,456.3,440.6,426.8,422.9,401.3,417.4
"Arsenik (As) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",5731.4,4218.8,4175.9,2852.0,1540.3,1631.0,1366.6,1347.6,1308.6,965.1,909.3,1091.3,929.4,989.3,965.8,1006.1,1071.1,1299.2,977.2,952.3,984.8,1005.7,957.8,899.2,923.7,747.3,735.2,798.5,752.0,742.2,682.6,603.7
"Arsenik (As) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",6502.3,5154.4,5222.7,3883.3,2767.9,2847.6,2488.1,2699.1,2793.1,2490.0,2332.4,2512.1,2161.4,2572.6,2730.9,2647.0,2670.1,2870.1,2513.9,2577.4,2431.3,2166.6,2036.3,1888.6,1936.0,1473.2,1632.1,1888.0,1651.9,1866.8,1956.4,1806.4
"Krom (Cr) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",22648.4,18626.5,16571.4,16765.6,15262.4,12145.1,10647.4,8825.5,7604.5,6675.6,6998.0,7549.4,9162.5,7444.7,8292.3,10110.3,10563.4,13265.5,9715.0,3391.0,5105.0,6498.8,5118.9,4940.9,4547.1,5447.8,5552.6,6670.8,6026.6,5979.1,5182.0,6303.3
"Krom (Cr) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",23351.4,19476.1,17522.5,17701.9,16376.4,13249.4,11667.7,10054.8,8956.5,8061.5,8290.3,8838.2,10280.8,8880.4,9889.1,11595.2,12010.3,14686.2,11102.5,4857.5,6415.1,7553.0,6099.7,5841.6,5472.4,6138.3,6392.4,7684.7,6857.5,7015.0,6361.5,7420.4
"Koppar (Cu) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",65793.0,62984.6,71860.5,60671.5,52025.8,51823.5,52816.2,53613.7,52172.7,48608.6,46098.7,43639.7,42075.9,40753.0,39190.2,38065.4,38383.0,41629.6,39257.9,37597.8,38094.6,38608.1,37738.2,37593.4,37931.2,38443.1,39450.2,40465.4,40880.3,40055.1,37705.3,38236.2
