date,layoffs
1994-01,3069
1994-02,3209
1994-03,2897
1994-04,2207
1994-05,2581
1994-06,2666
1994-07,1373
1994-08,1892
1994-09,1936
1994-10,1769
1994-11,1936
1994-12,1736
1995-01,1830
1995-02,1898
1995-03,2351
1995-04,1658
1995-05,1818
1995-06,1843
1995-07,1270
1995-08,1541
1995-09,2560
1995-10,1847
1995-11,1536
1995-12,1784
1996-01,2251
1996-02,2237
1996-03,1490
1996-04,1549
1996-05,2434
1996-06,2136
1996-07,1569
1996-08,1583
1996-09,1981
1996-10,2110
1996-11,1836
1996-12,1503
1997-01,1797
1997-02,1732
1997-03,1556
1997-04,3166
1997-05,1533
1997-06,1728
1997-07,1487
1997-08,1049
1997-09,1749
1997-10,2428
1997-11,1525
1997-12,1420
1998-01,1162
1998-02,3274
1998-03,1666
1998-04,1161
1998-05,1469
1998-06,1557
1998-07,1108
1998-08,1146
1998-09,1417
1998-10,1289
1998-11,1957
1998-12,1778
1999-01,1172
1999-02,1553
1999-03,1416
1999-04,1107
1999-05,1119
1999-06,1761
1999-07,1018
1999-08,1036
1999-09,1026
1999-10,1287
1999-11,1212
1999-12,1460
2000-01,967
2000-02,1473
2000-03,1680
2000-04,1553
2000-05,1370
2000-06,1447
2000-07,1232
2000-08,1771
2000-09,1480
2000-10,1306
2000-11,1422
2000-12,1311
2001-01,1817
2001-02,1516
2001-03,1608
2001-04,1784
2001-05,1737
2001-06,1938
2001-07,2057
2001-08,1781
2001-09,3128
2001-10,2640
2001-11,2420
2001-12,1634
2002-01,2697
2002-02,2336
2002-03,2084
2002-04,2048
2002-05,2666
2002-06,2198
2002-07,2127
2002-08,2189
2002-09,2392
2002-10,2334
2002-11,2249
2002-12,1628
2003-01,2107
2003-02,2658
2003-03,2516
2003-04,2481
2003-05,2206
2003-06,2561
2003-07,1949
2003-08,2155
2003-09,2035
2003-10,2052
2003-11,2086
2003-12,2107
2004-01,1805
2004-02,3205
2004-03,2193
2004-04,1705
2004-05,1363
2004-06,1974
2004-07,1115
2004-08,1398
2004-09,1637
2004-10,1606
2004-11,1741
2004-12,1464
2005-01,994
2005-02,1222
2005-03,1538
2005-04,1488
2005-05,1485
2005-06,1283
2005-07,871
2005-08,1176
2005-09,1038
2005-10,1265
2005-11,1380
2005-12,1028
2006-01,1109
2006-02,1348
2006-03,1348
2006-04,997
2006-05,838
2006-06,1679
2006-07,1073
2006-08,902
2006-09,998
2006-10,1197
2006-11,1226
2006-12,1127
2007-01,963
2007-02,975
2007-03,1500
2007-04,922
2007-05,1098
2007-06,1155
2007-07,1023
2007-08,1077
2007-09,695
2007-10,1249
2007-11,1043
2007-12,965
2008-01,1360
2008-02,1055
2008-03,1114
2008-04,1246
2008-05,1240
2008-06,1079
2008-07,1046
2008-08,1455
2008-09,1430
2008-10,1986
2008-11,2997
2008-12,3409
2009-01,2657
2009-02,2918
2009-03,3390
2009-04,2585
2009-05,2890
2009-06,2839
2009-07,2059
2009-08,2368
2009-09,2535
2009-10,1660
2009-11,1960
2009-12,1234
2010-01,2359
2010-02,2041
2010-03,2085
2010-04,1447
2010-05,1771
2010-06,1661
2010-07,1491
2010-08,1018
2010-09,1853
2010-10,1874
2010-11,2076
2010-12,1506
2011-01,1562
2011-02,1644
2011-03,1637
2011-04,1375
2011-05,1862
2011-06,1342
2011-07,2150
2011-08,1379
2011-09,1381
2011-10,1821
2011-11,1849
2011-12,5779
2012-01,1687
2012-02,2085
2012-03,2245
2012-04,1339
2012-05,2838
2012-06,2117
2012-07,2149
2012-08,1884
2012-09,3881
2012-10,1721
2012-11,2593
2012-12,1925
2013-01,2189
2013-02,2255
2013-03,2020
2013-04,2184
2013-05,2403
2013-06,4070
2013-07,1797
2013-08,2200
2013-09,1737
2013-10,1882
2013-11,1601
2013-12,1470
2014-01,1788
2014-02,2007
2014-03,1569
2014-04,1691
2014-05,1772
2014-06,1590
2014-07,1588
2014-08,1314
2014-09,1252
2014-10,1289
2014-11,1656
2014-12,1538
2015-01,1392
2015-02,1223
2015-03,1598
2015-04,1275
2015-05,1442
2015-06,1871
2015-07,1137
2015-08,1260
2015-09,1152
2015-10,1204
2015-11,927
2015-12,980
2016-01,1242
2016-02,1277
2016-03,1645
2016-04,1588
2016-05,1343
2016-06,1176
2016-07,1175
2016-08,1156
2016-09,1480
2016-10,1367
2016-11,1610
2016-12,1280
2017-01,1726
2017-02,1217
2017-03,1603
2017-04,1774
2017-05,1887
2017-06,1220
2017-07,1462
2017-08,1129
2017-09,1171
2017-10,1579
2017-11,1232
2017-12,1485
2018-01,1915
2018-02,1201
2018-03,1563
2018-04,1658
2018-05,1820
2018-06,1795
2018-07,1636
2018-08,1365
2018-09,1704
2018-10,1679
2018-11,1673
2018-12,1457
2019-01,1684
2019-02,1663
2019-03,1746
2019-04,2166
2019-05,2310
2019-06,1704
2019-07,1572
2019-08,1534
2019-09,1728
2019-10,3001
2019-11,1750
2019-12,1869
2020-01,2095
2020-02,1865
2020-03,3856
2020-04,4067
2020-05,1948
2020-06,2097
2020-07,1187
2020-08,1297
2020-09,1440
2020-10,1818
2020-11,1333
2020-12,950
2021-01,1127
2021-02,960
2021-03,1231
2021-04,771
2021-05,1107
2021-06,819
2021-07,774
2021-08,675
2021-09,872
2021-10,846
2021-11,733
2021-12,678
2022-01,1141
2022-02,918
2022-03,959
2022-04,818
2022-05,828
2022-06,1088
2022-07,648
2022-08,3872
2022-09,1070
2022-10,1924
2022-11,1596
2022-12,1297
